candidate_event_id,group_id,working_filename,working_path,event_index,onset_seconds,ioi_seconds,onset_frame,onset_strength_norm,candidate_status,event_token,keep_event,review_notes
PERF-001-CAND-0042,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,42,49.911293,0.580499,4299,0.053862,pending_review,,,
PERF-001-CAND-0043,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,43,51.07229,1.160998,4399,0.031481,pending_review,,,
PERF-001-CAND-0044,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,44,52.233288,1.160998,4499,0.037746,pending_review,,,
PERF-001-CAND-0045,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,45,52.825397,0.592109,4550,0.031905,pending_review,,,
PERF-001-CAND-0046,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,46,53.405896,0.580499,4600,0.033844,pending_review,,,
PERF-001-CAND-0047,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,47,53.998005,0.592109,4651,0.041809,pending_review,,,
PERF-001-CAND-0048,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,48,54.578503,0.580499,4701,0.034408,pending_review,,,
PERF-001-CAND-0049,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,49,55.727891,1.149388,4800,0.025462,pending_review,,,
PERF-001-CAND-0050,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,50,56.900499,1.172608,4901,0.026711,pending_review,,,
PERF-001-CAND-0051,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,51,58.073107,1.172608,5002,0.046346,pending_review,,,
